[router] Current routes
Name                                        Method       Scheme Host Path
sylius_installer                            ANY          ANY    ANY  /installer
sylius_flow_start                           ANY          ANY    ANY  /installer/flow/{scenarioAlias}
sylius_flow_display                         ANY          ANY    ANY  /installer/flow/{scenarioAlias}/{stepName}
sylius_flow_forward                         ANY          ANY    ANY  /installer/flow/{scenarioAlias}/{stepName}/forward
sylius_homepage                             ANY          ANY    ANY  /
sylius_currency_change                      ANY          ANY    ANY  /currency/change/{currency}
sylius_product_index_by_taxon               ANY          ANY    ANY  /t/{permalink}
sylius_product_show                         ANY          ANY    ANY  /p/{slug}
sylius_checkout_start                       ANY          ANY    ANY  /checkout/
sylius_checkout_display                     ANY          ANY    ANY  /checkout/{stepName}
sylius_checkout_forward                     ANY          ANY    ANY  /checkout/{stepName}/forward
sylius_checkout_security                    ANY          ANY    ANY  /checkout/security
sylius_checkout_addressing                  ANY          ANY    ANY  /checkout/addressing
sylius_checkout_shipping                    ANY          ANY    ANY  /checkout/shipping
sylius_checkout_payment                     ANY          ANY    ANY  /checkout/payment
sylius_checkout_finalize                    ANY          ANY    ANY  /checkout/finalize
sylius_account_homepage                     ANY          ANY    ANY  /account/
sylius_account_order_index                  GET          ANY    ANY  /account/orders
sylius_account_order_show                   GET          ANY    ANY  /account/order/{number}
sylius_account_order_invoice                GET          ANY    ANY  /account/invoice/{number}
sylius_account_address_index                GET          ANY    ANY  /account/addresses
sylius_account_address_create               GET|POST     ANY    ANY  /account/address/new
sylius_account_address_update               GET|POST     ANY    ANY  /account/address/{id}/edit
sylius_account_address_delete               DELETE       ANY    ANY  /account/address/{id}/delete
sylius_account_address_set_default_billing  GET          ANY    ANY  /account/address/{id}/default/billing
sylius_account_address_set_default_shipping GET          ANY    ANY  /account/address/{id}/default/shipping
sylius_cart_clear                           ANY          ANY    ANY  /cart/clear
sylius_cart_item_add                        ANY          ANY    ANY  /cart/add
sylius_cart_item_remove                     ANY          ANY    ANY  /cart/{id}/remove
sylius_cart_summary                         ANY          ANY    ANY  /cart
sylius_cart_save                            ANY          ANY    ANY  /cart/save
sylius_backend_index                        ANY          ANY    ANY  /administration/
sylius_backend_dashboard                    ANY          ANY    ANY  /administration/dashboard
sylius_backend_user_index                   GET          ANY    ANY  /administration/users/
sylius_backend_user_filter_form             GET          ANY    ANY  /administration/users/filter-form
sylius_backend_user_create                  GET|POST     ANY    ANY  /administration/users/new
sylius_backend_user_update                  GET|PUT|POST ANY    ANY  /administration/users/{id}/edit
sylius_backend_user_delete                  DELETE       ANY    ANY  /administration/users/{id}
sylius_backend_user_show                    GET          ANY    ANY  /administration/users/{id}
sylius_backend_product_index                GET          ANY    ANY  /administration/products/
sylius_backend_product_create               GET|POST     ANY    ANY  /administration/products/new
sylius_backend_product_update               GET|PUT|POST ANY    ANY  /administration/products/{id}/edit
sylius_backend_product_delete               DELETE       ANY    ANY  /administration/products/{id}
sylius_backend_product_filter_form          GET          ANY    ANY  /administration/products/filter-form
sylius_backend_product_show                 GET          ANY    ANY  /administration/products/{id}
sylius_backend_inventory_index              GET          ANY    ANY  /administration/inventory/
sylius_backend_variant_create               GET|POST     ANY    ANY  /administration/products/{productId}/variants/new
sylius_backend_variant_update               GET|PUT      ANY    ANY  /administration/products/{productId}/variants/{id}/edit
sylius_backend_variant_delete               DELETE       ANY    ANY  /administration/products/{productId}/variants/{id}
sylius_backend_variant_generate             GET          ANY    ANY  /administration/products/{productId}/variants/generate
sylius_backend_option_index                 GET          ANY    ANY  /administration/options/
sylius_backend_option_create                GET|POST     ANY    ANY  /administration/options/new
sylius_backend_option_update                GET|PUT      ANY    ANY  /administration/options/{id}/edit
sylius_backend_option_delete                DELETE       ANY    ANY  /administration/options/{id}
sylius_backend_property_index               GET          ANY    ANY  /administration/properties/
sylius_backend_property_create              GET|POST     ANY    ANY  /administration/properties/new
sylius_backend_property_update              GET|PUT      ANY    ANY  /administration/properties/{id}/edit
sylius_backend_property_delete              DELETE       ANY    ANY  /administration/properties/{id}
sylius_backend_prototype_index              GET          ANY    ANY  /administration/prototypes/
sylius_backend_prototype_create             GET|POST     ANY    ANY  /administration/prototypes/new
sylius_backend_prototype_update             GET|PUT      ANY    ANY  /administration/prototypes/{id}/edit
sylius_backend_prototype_delete             DELETE       ANY    ANY  /administration/prototypes/{id}
sylius_backend_prototype_build              GET|POST     ANY    ANY  /administration/prototypes/{id}/build
sylius_backend_taxonomy_index               GET          ANY    ANY  /administration/taxonomies/
sylius_backend_taxonomy_create              GET|POST     ANY    ANY  /administration/taxonomies/new
sylius_backend_taxonomy_update              GET|PUT      ANY    ANY  /administration/taxonomies/{id}/edit
sylius_backend_taxonomy_delete              DELETE       ANY    ANY  /administration/taxonomies/{id}
sylius_backend_taxonomy_show                GET          ANY    ANY  /administration/taxonomies/{id}
sylius_backend_taxon_create                 GET|POST     ANY    ANY  /administration/taxonomies/{taxonomyId}/taxons/new
sylius_backend_taxon_update                 GET|PUT      ANY    ANY  /administration/taxonomies/{taxonomyId}/taxons/{id}/edit
sylius_backend_taxon_delete                 DELETE       ANY    ANY  /administration/taxonomies/{taxonomyId}/taxons/{id}
sylius_backend_order_index                  GET          ANY    ANY  /administration/orders/
sylius_backend_order_create                 GET|POST     ANY    ANY  /administration/orders/new
sylius_backend_order_update                 GET|PUT      ANY    ANY  /administration/orders/{id}/edit
sylius_backend_order_delete                 DELETE       ANY    ANY  /administration/orders/{id}
sylius_backend_order_filter_form            GET          ANY    ANY  /administration/orders/filter-form
sylius_backend_order_show                   GET          ANY    ANY  /administration/orders/{id}
sylius_backend_order_by_user                GET          ANY    ANY  /administration/orders/u/{id}
sylius_backend_promotion_index              GET          ANY    ANY  /administration/promotions/
sylius_backend_promotion_create             GET|POST     ANY    ANY  /administration/promotions/new
sylius_backend_promotion_update             GET|PUT      ANY    ANY  /administration/promotions/{id}/edit
sylius_backend_promotion_delete             DELETE       ANY    ANY  /administration/promotions/{id}
sylius_backend_promotion_show               GET          ANY    ANY  /administration/promotions/{id}
sylius_backend_promotion_coupon_index       GET          ANY    ANY  /administration/promotions/{promotionId}/coupons/
sylius_backend_promotion_coupon_create      GET|POST     ANY    ANY  /administration/promotions/{promotionId}/coupons/new
sylius_backend_promotion_coupon_update      GET|PUT      ANY    ANY  /administration/promotions/{promotionId}/coupons/edit
sylius_backend_promotion_coupon_delete      DELETE       ANY    ANY  /administration/promotions/{promotionId}/coupons/{id}
sylius_backend_promotion_coupon_generate    GET|POST     ANY    ANY  /administration/promotions/{promotionId}/coupons/generate
sylius_backend_promotion_rule_delete        DELETE       ANY    ANY  /administration/promotion-rules/{id}
sylius_backend_promotion_action_delete      DELETE       ANY    ANY  /administration/promotion-actions/{id}
sylius_backend_tax_category_index           GET          ANY    ANY  /administration/tax-categories/
sylius_backend_tax_category_create          GET|POST     ANY    ANY  /administration/tax-categories/new
sylius_backend_tax_category_update          GET|PUT      ANY    ANY  /administration/tax-categories/{id}/edit
sylius_backend_tax_category_delete          DELETE       ANY    ANY  /administration/tax-categories/{id}
sylius_backend_tax_category_show            GET          ANY    ANY  /administration/tax-categories/{id}
sylius_backend_tax_rate_index               GET          ANY    ANY  /administration/tax-rates/
sylius_backend_tax_rate_create              GET|POST     ANY    ANY  /administration/tax-rates/new
sylius_backend_tax_rate_update              GET|PUT      ANY    ANY  /administration/tax-rates/{id}/edit
sylius_backend_tax_rate_delete              DELETE       ANY    ANY  /administration/tax-rates/{id}
sylius_backend_tax_rate_show                GET          ANY    ANY  /administration/tax-rates/{id}
sylius_backend_shipping_category_index      GET          ANY    ANY  /administration/shipping-categories/
sylius_backend_shipping_category_create     GET|POST     ANY    ANY  /administration/shipping-categories/new
sylius_backend_shipping_category_update     GET|PUT      ANY    ANY  /administration/shipping-categories/{id}/edit
sylius_backend_shipping_category_delete     DELETE       ANY    ANY  /administration/shipping-categories/{id}/delete
sylius_backend_shipping_method_index        GET          ANY    ANY  /administration/shipping-methods/
sylius_backend_shipping_method_create       GET|POST     ANY    ANY  /administration/shipping-methods/new
sylius_backend_shipping_method_update       GET|PUT      ANY    ANY  /administration/shipping-methods/{id}/edit
sylius_backend_shipping_method_delete       DELETE       ANY    ANY  /administration/shipping-methods/{id}
sylius_backend_shipping_method_show         GET          ANY    ANY  /administration/shipping-methods/{id}
sylius_backend_shipment_index               GET          ANY    ANY  /administration/shipments/
sylius_backend_shipment_update              GET|PUT      ANY    ANY  /administration/shipments/{id}/edit
sylius_backend_shipment_delete              DELETE       ANY    ANY  /administration/shipments/{id}
sylius_backend_shipment_show                GET          ANY    ANY  /administration/shipments/{id}
sylius_backend_payment_method_index         GET          ANY    ANY  /administration/payment-methods/
